country,name,continent,year,lifeExp,pop,gdpPercap
arg,Argentina,Americas,1960-01-01,65.26,20481781,7362.53406
arg,Argentina,Americas,1965-01-01,66.13,22159644,8202.11255
arg,Argentina,Americas,1970-01-01,66.13,23880564,9243.25658
arg,Argentina,Americas,1975-01-01,68.03,25865775,9939.69662
arg,Argentina,Americas,1980-01-01,70.23,27896532,10318.18299
arg,Argentina,Americas,1985-01-01,71.73,30216284,9009.00173
arg,Argentina,Americas,1990-01-01,72.47,32618648,8149.24062
arg,Argentina,Americas,1995-01-01,73.44,34828168,10003.09169
arg,Argentina,Americas,2000-01-01,74.22,36870796,10730.60822
arg,Argentina,Americas,2005-01-01,75.28,38892924,11192.17958
arg,Argentina,Americas,2010-01-01,75.94,40895751,13551.33919
arg,Argentina,Americas,2015-01-01,76.5,43075416,13789.06042
arg,Argentina,Americas,2019-01-01,76.58,44780675,12711.70519
aus,Australia,Oceania,1960-01-01,71.11,10242070,19967.91914
aus,Australia,Oceania,1965-01-01,71.1,11313186,22527.08827
aus,Australia,Oceania,1970-01-01,71.15,12793030,26915.35218
aus,Australia,Oceania,1975-01-01,72.51,13773290,28350.93536
aus,Australia,Oceania,1980-01-01,74.51,14588400,30817.75422
aus,Australia,Oceania,1985-01-01,75.59,15663672,33020.30471
aus,Australia,Oceania,1990-01-01,77,16960600,37003.99099
aus,Australia,Oceania,1995-01-01,78.29,17993083,39254.189659999996
aus,Australia,Oceania,2000-01-01,79.72,18991434,45683.31004
aus,Australia,Oceania,2005-01-01,81.24,20178543,50299.10077
aus,Australia,Oceania,2010-01-01,82.12,22154687,53604.9211
aus,Australia,Oceania,2015-01-01,82.73,23932499,56755.72171
aus,Australia,Oceania,2019-01-01,82.89,25203200,58923.20821
aut,Austria,Europe,1960-01-01,68.96,7070773,12046.30565
aut,Austria,Europe,1965-01-01,70.09,7305154,14466.00251
aut,Austria,Europe,1970-01-01,70.21,7516238,18094.71351
aut,Austria,Europe,1975-01-01,71.44,7637686,21620.34971
aut,Austria,Europe,1980-01-01,72.84,7609750,25510.4792
aut,Austria,Europe,1985-01-01,74.26,7614874,27384.85734
aut,Austria,Europe,1990-01-01,75.97,7723954,31328.07986
aut,Austria,Europe,1995-01-01,77.03,7990113,33776.89854
aut,Austria,Europe,2000-01-01,78.49,8069276,38827.2726
aut,Austria,Europe,2005-01-01,79.75,8253656,41264.67242
aut,Austria,Europe,2010-01-01,80.79,8409945,43317.08506
aut,Austria,Europe,2015-01-01,81.57,8678667,44178.04738
aut,Austria,Europe,2019-01-01,82.16,8955108,46717.72073
bdi,Burundi,Africa,1960-01-01,43.92,2797925,285.43888
bdi,Burundi,Africa,1965-01-01,45.31,3094378,279.35114
bdi,Burundi,Africa,1970-01-01,45.96,3479070,352.64871
bdi,Burundi,Africa,1975-01-01,47.19,3700879,340.65285
bdi,Burundi,Africa,1980-01-01,48.49,4157296,371.11195
bdi,Burundi,Africa,1985-01-01,49.33,4750832,418.49598
bdi,Burundi,Africa,1990-01-01,48.72,5438959,438.71252
bdi,Burundi,Africa,1995-01-01,43.35,5987044,350.95099
bdi,Burundi,Africa,2000-01-01,44.69,6378871,306.58448
bdi,Burundi,Africa,2005-01-01,50.3,7364857,295.73716
bdi,Burundi,Africa,2010-01-01,58.55,8675606,313.31181
bdi,Burundi,Africa,2015-01-01,61.75,10160034,305.54965
bdi,Burundi,Africa,2019-01-01,63.83,11530577,278.31937
bel,Belgium,Europe,1960-01-01,70.07,9167361,11729.58805
bel,Belgium,Europe,1965-01-01,70.76,9443948,14483.61919
bel,Belgium,Europe,1970-01-01,71.1,9632179,17842.3178
bel,Belgium,Europe,1975-01-01,72.15,9771582,20988.76429
bel,Belgium,Europe,1980-01-01,73.33,9868999,24383.49014
bel,Belgium,Europe,1985-01-01,74.61,9916577,25559.20837
bel,Belgium,Europe,1990-01-01,76.15,10006545,29429.82427
bel,Belgium,Europe,1995-01-01,77.01,10186304,31317.29498
