"country","name","continent","year","lifeExp","pop","gdpPercap"
"1","arg","Argentina","Americas",1960-01-01,65.26,20481781,5642.76459
"2","arg","Argentina","Americas",1965-01-01,66.13,22159644,6286.23105
"3","arg","Argentina","Americas",1970-01-01,66.13,23880564,7084.18059
"4","arg","Argentina","Americas",1975-01-01,68.03,25865775,7617.94345
"5","arg","Argentina","Americas",1980-01-01,70.23,27896532,7908.02148
"6","arg","Argentina","Americas",1985-01-01,71.73,30216284,6904.6439
"7","arg","Argentina","Americas",1990-01-01,72.47,32618648,6245.70915
"8","arg","Argentina","Americas",1995-01-01,73.44,34828168,7666.53044
"9","arg","Argentina","Americas",2000-01-01,74.22,36870796,8224.11082
"10","arg","Argentina","Americas",2005-01-01,75.28,38892924,8577.86654
"11","arg","Argentina","Americas",2010-01-01,75.94,40895751,10385.96443
"12","arg","Argentina","Americas",2015-01-01,76.5,43075416,10568.15781
"13","arg","Argentina","Americas",2019-01-01,76.58,44780675,9742.45542
"14","aus","Australia","Oceania",1960-01-01,71.11,10242070,19378.32528
"15","aus","Australia","Oceania",1965-01-01,71.1,11313186,21861.92968
"16","aus","Australia","Oceania",1970-01-01,71.15,12793030,26120.62107
"17","aus","Australia","Oceania",1975-01-01,72.51,13773290,27513.8157
"18","aus","Australia","Oceania",1980-01-01,74.51,14588400,29907.79666
"19","aus","Australia","Oceania",1985-01-01,75.59,15663672,32045.31233
"20","aus","Australia","Oceania",1990-01-01,77,16960600,35911.37208
"21","aus","Australia","Oceania",1995-01-01,78.29,17993083,38095.12901
"22","aus","Australia","Oceania",2000-01-01,79.72,18991434,44334.41639
"23","aus","Australia","Oceania",2005-01-01,81.24,20178543,48813.91641
"24","aus","Australia","Oceania",2010-01-01,82.12,22154687,52022.1256
"25","aus","Australia","Oceania",2015-01-01,82.73,23932499,55079.89234
"26","aus","Australia","Oceania",2019-01-01,82.89,25203200,57183.37935
"27","aut","Austria","Europe",1960-01-01,68.96,7070773,13031.03177
"28","aut","Austria","Europe",1965-01-01,70.09,7305154,15648.52691
"29","aut","Austria","Europe",1970-01-01,70.21,7516238,19573.86716
"30","aut","Austria","Europe",1975-01-01,71.44,7637686,23387.70675
"31","aut","Austria","Europe",1980-01-01,72.84,7609750,27595.83514
"32","aut","Austria","Europe",1985-01-01,74.26,7614874,29623.43446
"33","aut","Austria","Europe",1990-01-01,75.97,7723954,33888.99598
"34","aut","Austria","Europe",1995-01-01,77.03,7990113,36537.99352
"35","aut","Austria","Europe",2000-01-01,78.49,8069276,42001.21077
"36","aut","Austria","Europe",2005-01-01,79.75,8253656,44637.85601
"37","aut","Austria","Europe",2010-01-01,80.79,8409945,46858.04327
"38","aut","Austria","Europe",2015-01-01,81.57,8678667,47789.38502
"39","aut","Austria","Europe",2019-01-01,82.16,8955108,50536.66415
"40","bdi","Burundi","Africa",1960-01-01,43.92,2797925,213.39741
"41","bdi","Burundi","Africa",1965-01-01,45.31,3094378,208.84614
"42","bdi","Burundi","Africa",1970-01-01,45.96,3479070,263.64425
"43","bdi","Burundi","Africa",1975-01-01,47.19,3700879,254.67601
"44","bdi","Burundi","Africa",1980-01-01,48.49,4157296,277.44758
"45","bdi","Burundi","Africa",1985-01-01,49.33,4750832,312.87243
"46","bdi","Burundi","Africa",1990-01-01,48.72,5438959,327.98655
"47","bdi","Burundi","Africa",1995-01-01,43.35,5987044,262.37502
"48","bdi","Burundi","Africa",2000-01-01,44.69,6378871,229.2061
"49","bdi","Burundi","Africa",2005-01-01,50.3,7364857,221.09652
"50","bdi","Burundi","Africa",2010-01-01,58.55,8675606,234.23553
"51","bdi","Burundi","Africa",2015-01-01,61.75,10160034,228.43245
"52","bdi","Burundi","Africa",2019-01-01,63.83,11530577,208.07478
"53","bel","Belgium","Europe",1960-01-01,70.07,9167361,13021.65232
"54","bel","Belgium","Europe",1965-01-01,70.76,9443948,16079.05177
"55","bel","Belgium","Europe",1970-01-01,71.1,9632179,19807.72539
"56","bel","Belgium","Europe",1975-01-01,72.15,9771582,23300.76641
"57","bel","Belgium","Europe",1980-01-01,73.33,9868999,27069.43583
"58","bel","Belgium","Europe",1985-01-01,74.61,9916577,28374.66445
"59","bel","Belgium","Europe",1990-01-01,76.15,10006545,32671.64524
"60","bel","Belgium","Europe",1995-01-01,77.01,10186304,34767.02891
"61","bel","Belgium","Europe",2000-01-01,78.04,10282046,39588.59788
"62","bel","Belgium","Europe",2005-01-01,79.32,10546885,42641.69358
"63","bel","Belgium","Europe",2010-01-01,80.23,10938735,44141.87814
"64","bel","Belgium","Europe",2015-01-01,81.09,11287931,45507.23106
"65","bel","Belgium","Europe",2019-01-01,81.41,11539326,47611.9137
"66","ben","Benin","Africa",1960-01-01,44.78,2431617,711.93786
"67","ben","Benin","Africa",1965-01-01,46.76,2632361,770.40827
"68","ben","Benin","Africa",1970-01-01,48.54,2912338,795.15641
"69","ben","Benin","Africa",1975-01-01,50.76,3265167,757.80986
"70","ben","Benin","Africa",1980-01-01,52.71,3717161,812.09922
"71","ben","Benin","Africa",1985-01-01,53.94,4278502,880.4565
"72","ben","Benin","Africa",1990-01-01,55.73,4978489,833.61348
"73","ben","Benin","Africa",1995-01-01,56.89,5905552,863.47159
"74","ben","Benin","Africa",2000-01-01,57.39,6865946,949.73702
"75","ben","Benin","Africa",2005-01-01,58.81,7982223,989.3726
"76","ben","Benin","Africa",2010-01-01,61.1,9199254,1036.53459
"77","ben","Benin","Africa",2015-01-01,62.64,10575962,1128.9954
"78","ben","Benin","Africa",2019-01-01,64.49,11801151,1259.80817
"79","bfa","Burkina Faso","Africa",1960-01-01,39.54,4829289,268.74405
